 3547    2
  268.1031    8.22354E-26    8.37360E-18
  268.2149    8.20853E-26    8.28494E-18
  268.3266    8.19357E-26    8.19456E-18
  268.4384    8.17863E-26    8.11278E-18
  268.5500    8.16375E-26    8.05111E-18
  268.6617    8.14889E-26    7.99915E-18
  268.7734    8.13406E-26    7.94845E-18
  268.8850    8.11929E-26    7.88907E-18
  268.9966    8.10455E-26    7.82975E-18
  269.1082    8.08984E-26    7.79204E-18
  269.2198    8.07517E-26    7.79286E-18
  269.3313    8.06054E-26    7.82825E-18
  269.4427    8.04596E-26    7.88303E-18
  269.5542    8.03140E-26    7.93166E-18
  269.6657    8.01687E-26    7.94195E-18
  269.7771    8.00240E-26    7.90747E-18
  269.8885    7.98795E-26    7.83316E-18
  269.9998    7.97355E-26    7.74989E-18
  270.1112    7.95917E-26    7.66199E-18
  270.2225    7.94484E-26    7.58366E-18
  270.3338    7.93054E-26    7.50710E-18
  270.4451    7.91627E-26    7.42987E-18
  270.5563    7.90205E-26    7.36065E-18
  270.6676    7.88785E-26    7.30357E-18
  270.7787    7.87371E-26    7.25440E-18
  270.8899    7.85958E-26    7.21935E-18
  271.0011    7.84549E-26    7.18702E-18
  271.1122    7.83144E-26    7.15261E-18
  271.2233    7.81743E-26    7.10938E-18
  271.3344    7.80345E-26    7.07634E-18
  271.4454    7.78951E-26    7.05278E-18
  271.5565    7.77559E-26    7.03953E-18
  271.6674    7.76173E-26    7.03429E-18
  271.7784    7.74788E-26    7.02399E-18
  271.8894    7.73407E-26    6.99450E-18
  272.0003    7.72030E-26    6.93847E-18
  272.1112    7.70657E-26    6.86369E-18
  272.2221    7.69286E-26    6.79230E-18
  272.3330    7.67919E-26    6.74218E-18
  272.4438    7.66556E-26    6.70393E-18
  272.5546    7.65196E-26    6.65891E-18
  272.6654    7.63839E-26    6.60478E-18
  272.7762    7.62485E-26    6.55293E-18
  272.8869    7.61136E-26    6.51309E-18
  272.9977    7.59788E-26    6.49291E-18
  273.1084    7.58444E-26    6.46940E-18
  273.2190    7.57105E-26    6.42729E-18
  273.3297    7.55768E-26    6.36532E-18
  273.4403    7.54434E-26    6.29657E-18
  273.5509    7.53104E-26    6.22822E-18
  273.6615    7.51777E-26    6.16462E-18
  273.7721    7.50453E-26    6.09786E-18
  273.8827    7.49132E-26    6.03129E-18
  273.9932    7.47815E-26    5.95811E-18
  274.1037    7.46500E-26    5.88243E-18
  274.2142    7.45189E-26    5.82244E-18
  274.3246    7.43882E-26    5.78709E-18
  274.4351    7.42577E-26    5.78377E-18
  274.5455    7.41276E-26    5.79639E-18
  274.6559    7.39977E-26    5.80368E-18
  274.7663    7.38682E-26    5.79637E-18
  274.8766    7.37391E-26    5.77190E-18
  274.9869    7.36102E-26    5.72792E-18
  275.0973    7.34815E-26    5.67382E-18
  275.2076    7.33532E-26    5.61728E-18
  275.3178    7.32254E-26    5.55841E-18
  275.4281    7.30977E-26    5.49811E-18
  275.5383    7.29704E-26    5.43878E-18
  275.6485    7.28433E-26    5.37950E-18
  275.7587    7.27166E-26    5.32912E-18
  275.8689    7.25901E-26    5.29177E-18
  275.9790    7.24641E-26    5.27349E-18
  276.0891    7.23383E-26    5.26278E-18
  276.1993    7.22127E-26    5.23742E-18
  276.3094    7.20875E-26    5.19051E-18
  276.4194    7.19626E-26    5.13027E-18
  276.5295    7.18379E-26    5.07294E-18
  276.6395    7.17136E-26    5.03244E-18
  276.7495    7.15896E-26    4.99834E-18
  276.8595    7.14659E-26    4.96458E-18
  276.9695    7.13424E-26    4.93367E-18
  277.0794    7.12193E-26    4.91286E-18
  277.1894    7.10964E-26    4.89265E-18
  277.2993    7.09739E-26    4.86879E-18
  277.4092    7.08516E-26    4.83324E-18
  277.5191    7.07296E-26    4.78266E-18
  277.6289    7.06080E-26    4.72277E-18
  277.7388    7.04865E-26    4.66139E-18
  277.8486    7.03654E-26    4.60358E-18
  277.9584    7.02446E-26    4.55382E-18
  278.0682    7.01240E-26    4.51249E-18
  278.1779    7.00038E-26    4.47886E-18
  278.2877    6.98838E-26    4.44918E-18
  278.3974    6.97641E-26    4.41853E-18
  278.5071    6.96447E-26    4.38515E-18
  278.6169    6.95254E-26    4.34821E-18
  278.7265    6.94067E-26    4.31022E-18
  278.8362    6.92880E-26    4.26112E-18
  278.9458    6.91698E-26    4.21131E-18
  279.0555    6.90517E-26    4.16071E-18
  279.1651    6.89339E-26    4.11966E-18
  279.2747    6.88165E-26    4.08878E-18
  279.3842    6.86993E-26    4.06857E-18
  279.4938    6.85823E-26    4.05327E-18
  279.6033    6.84657E-26    4.03804E-18
  279.7128    6.83494E-26    4.01867E-18
  279.8223    6.82332E-26    3.99098E-18
  279.9318    6.81174E-26    3.94919E-18
  280.0413    6.80018E-26    3.89037E-18
  280.1508    6.78864E-26    3.82464E-18
  280.2602    6.77714E-26    3.76216E-18
  280.3696    6.76566E-26    3.71323E-18
  280.4790    6.75421E-26    3.67552E-18
  280.5884    6.74278E-26    3.64415E-18
  280.6978    6.73138E-26    3.62110E-18
  280.8071    6.72002E-26    3.60541E-18
  280.9164    6.70867E-26    3.59198E-18
  281.0258    6.69735E-26    3.56677E-18
